ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck4eiwacb7aub0706xdn9n4zk,ck4eisfpr6tw20enraf2s7owq,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Fb9704431-ccec-0f82-66be-1ec7b47e920f-Patch_20.jpg?Expires=1578084677322&KeyName=labelbox-assets-key-1&Signature=COMQDjg0WdQlW3PHojThuXiMUBo,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiw8a403t00xg28nig9pwv"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiw8b403t10xg23ir3x1b5"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,1.987,Patch_20.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwacb7aub0706xdn9n4zk
ck4eiwcl0hos10777br9gcbo0,ck4eisfpv6tzm0enr3yy5h0wt,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Fae5ace8c-88d6-1330-91d4-ba9197b03b30-Patch_52.jpg?Expires=1578084677322&KeyName=labelbox-assets-key-1&Signature=cJx5626ToqadiyS51RfdFJuygjA,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwbtq03t70xg2lurobz3j"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwbut03t80xg2l1x83dvo"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.738,Patch_52.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwcl0hos10777br9gcbo0
ck4eiwekzar5f07145xiwe78o,ck4eisfpz6u360enr1jio0u8c,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F81fac5ff-fd80-a36c-7dc8-230d31f04c26-Patch_84.jpg?Expires=1578084677322&KeyName=labelbox-assets-key-1&Signature=FDU0p49X_KO4XpwWBlpUP1p6s8o,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwdpg00010yecvjbzur66"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwdqi00020yecnxm1l00b"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.31,Patch_84.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwekzar5f07145xiwe78o
ck4eiwgbmhwr10886cckilp4n,ck4eisfqz6u6q0enrfzem8ad7,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F70af3e2d-ebd7-3a45-f315-3a3c7151453f-Patch_116.jpg?Expires=1578084677322&KeyName=labelbox-assets-key-1&Signature=lipJhpdSqkFIjiMk48KYVnVKroo,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwfko00030yecs1asqfti"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwflh00040yecsro4sxih"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.122,Patch_116.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwgbmhwr10886cckilp4n
ck4eiwhz977zl0870bmtrus82,ck4eisfpr6twe0enreiet7ynk,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Faf13fb64-6154-7e2f-7a68-3f5db7690c77-Patch_23.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=LOils-bdr-mdhRV-X94hM-MnrQA,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwh9b0zug0xdpi183w81i"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwh9z0zuh0xdpvn3nphrd"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.044,Patch_23.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwhz977zl0870bmtrus82
ck4eiwkd5hwtz0886l6iiks6i,ck4eisfpw6tzy0enre46z0l3m,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F965d27df-b425-3352-e87c-3a47fe21b88c-Patch_55.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=iaeJ0X75m2lzOQukaKxQTrZV9M8,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwj5q00060yecprlsu9lf"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwj6q00070yectiud6qvd"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.193,Patch_55.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwkd5hwtz0886l6iiks6i
ck4eiwmxkhp0l0777z97mfi2z,ck4eisfq06u3i0enrhl5ua84e,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F6d05c475-3e1e-f5c5-890c-a077dc2135d7-Patch_87.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=tyk-9KohfeLSs0ZMqqQjrsAcM8E,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwlrx00060ydrg9jfxi2u"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwlsr00070ydrpa707qxm"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.638,Patch_87.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwmxkhp0l0777z97mfi2z
ck4eiwol1785g08707ad4vnia,ck4eisfqz6u720enrdlc17ril,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F5d73e60b-105f-4327-44ce-67edf375c922-Patch_119.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=k51JLziE_CXD84cQilczxR8mX48,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwnxd0pfc0ycmcl6l1mu0"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwny50pfd0ycmjwhaiwiv"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.218,Patch_119.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwol1785g08707ad4vnia
ck4eiwqe3arei071413ag2b3y,ck4eisfpr6twq0enrg59kbz17,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F4d82b442-1ca6-329a-8be8-15f0b0f9d906-Patch_26.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=mfVCyLD-h3Piio5Iw7Iq-5Hx3uk,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwpni000a0yecsj0thuo9"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwpo9000b0yecq49wlk5m"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.19,Patch_26.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiwqe3arei071413ag2b3y
ck4eiws9z787508707c66k61x,ck4eisfpw6u0a0enrf8qv2fq8,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Fcb8363ae-9902-0c11-5c7d-4cac42b4c42f-Patch_58.jpg?Expires=1578084677323&KeyName=labelbox-assets-key-1&Signature=yUBllihAvLroaOaEatT2Vhsp2ak,"{""objects"":[],""classifications"":[{""featureId"":""ck4eiwrgx000a0ydr88a83dfp"",""schemaId"":""ck4eivywkaqw70714i3qlso48"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eiwrhr000b0ydr4dr6a2sx"",""schemaId"":""ck4eivyv26n9c0921ezpznivp"",""title"":""Forest"",""value"":""forest""}}]}",meet41196@gmail.com,Arunachal_Data,1.58E+12,1.58E+12,0.039,Patch_58.jpg,,,,,Arunachal_1,[],https://editor.labelbox.com?project=ck4einyue72zf087017e2gkc3&label=ck4eiws9z787508707c66k61x
