ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck4n98p5a545a082260qqagb2,ck4n94657oawf0ao191ei7ciy,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fc47826f0-7657-95f1-3ac4-22de091f3f22-Patch_116.jpg?Expires=1578782487675&KeyName=labelbox-assets-key-1&Signature=Utq99t60P0wlC81T3JlriwP5LCk,"{""objects"":[],""classifications"":[{""featureId"":""ck4n98o8f0f760z7jv1csuzfy"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n98oa10f770z7jo8hgy8rr"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,1.317,Patch_116.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n98p5a545a082260qqagb2
ck4n98ssgi3yk09214m0iu9k1,ck4n9464uoalr0ao11cb65giz,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fb9a34a70-80e6-6488-99b8-c7dbbd7318c0-Patch_20.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=Gy-WG8BWX2_ttctai6AiHKFxV08,"{""objects"":[],""classifications"":[{""featureId"":""ck4n98r4h0bf60x9736jdpm9w"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n98r5p0bf70x979jx8aslk"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,1.491,Patch_20.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n98ssgi3yk09214m0iu9k1
ck4n98usm57sw0815pzybgqhr,ck4n9464zoapb0ao1b0gz035j,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fd95bccca-7ddd-d545-e7ff-e8182d3f0ce3-Patch_52.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=DlaPc8Rx9Ct3859ZXXcs-blBvsw,"{""objects"":[],""classifications"":[{""featureId"":""ck4n98tv50bf80x97nm3gcu9g"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n98twl0bf90x97tb0ovt8e"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.308,Patch_52.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n98usm57sw0815pzybgqhr
ck4n98wkooxsx0983ynhmpk7r,ck4n94655oasv0ao1dgly4u9c,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fb6e98332-66eb-c373-87fc-d0c095273f18-Patch_84.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=N0VNLI_-HVGKx4Vc5xxkpi0M_XI,"{""objects"":[],""classifications"":[{""featureId"":""ck4n98vwa0e6m0z9jazzlqdvm"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n98vxa0e6n0z9jjpyfz3ht"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.384,Patch_84.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n98wkooxsx0983ynhmpk7r
ck4n98y81oxtq09835p4f2yun,ck4n9465loawr0ao15uir8lco,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F2affa049-3fe6-f3b4-e6e7-1c876133ff1d-Patch_119.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=-7UmODM3ozr7m0JzQaox0OKQRvM,"{""objects"":[],""classifications"":[{""featureId"":""ck4n98xii0f7c0z7jftp0sxmv"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n98xjf0f7d0z7jccjxn9qe"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.105,Patch_119.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n98y81oxtq09835p4f2yun
ck4n995a4oxwj098374rq31m5,ck4n9464uoam30ao11vyrhlxx,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F67b6c7ac-198a-dd55-955b-a2ebc6121d1b-Patch_23.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=N2ZTWUu9LMfubbVx24T0f0qtfW8,"{""objects"":[],""classifications"":[{""featureId"":""ck4n9900d0bfc0x9733smwa4e"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n990180bfd0x97vfd8dij7"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.903,Patch_23.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n995a4oxwj098374rq31m5
ck4n996zs1jqu0770p30vqdkf,ck4n9464zoapn0ao1fj2104qb,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fb38bb669-7f01-2b77-72f7-4e866c087a9c-Patch_55.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=cKAMAn0Gy4J4cvqM8jzwW6sC8xM,"{""objects"":[],""classifications"":[{""featureId"":""ck4n996bf0e6s0z9jgkh93ig0"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n996cb0e6t0z9jgesx92e0"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.274,Patch_55.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n996zs1jqu0770p30vqdkf
ck4n9a712u92g084700za38cc,ck4n94655oat70ao1d2e6hlca,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F0d2e3e97-f761-45d6-29d4-93e358cd045b-Patch_87.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=MKUEvzpeS5Zd8Qg60a8eON7P0cc,"{""objects"":[],""classifications"":[{""featureId"":""ck4n9982m0f7i0z7j1dtopo9d"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n9983j0f7j0z7jvcrv90wg"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.387,Patch_87.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n9a712u92g084700za38cc
ck4n9a8yf58ar0815msxf1ine,ck4n9465toax30ao1a7ca8u8w,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2Fc7029b10-6dd2-58b1-e4b1-38551951a854-Patch_122.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=s2O603IVOKQnfrNNKRvJlHAEm-k,"{""objects"":[],""classifications"":[{""featureId"":""ck4n9a84n0bfu0x971tzd3y7x"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n9a85r0bfv0x973bkixn2s"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.382,Patch_122.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n9a8yf58ar0815msxf1ine
ck4n9aaur54q50822dm10ruvl,ck4n9464xoamf0ao11ch73e5k,https://storage.labelbox.com/ck4gto7i5atm90770c1de3m7r%2F4b01d961-52d5-0f33-1464-981d2a05320c-Patch_26.jpg?Expires=1578782487676&KeyName=labelbox-assets-key-1&Signature=ufcPtnwpdCHXa-JT_gFQ2ios44w,"{""objects"":[],""classifications"":[{""featureId"":""ck4n9a9w20bfw0x976f1j8kxc"",""schemaId"":""ck4n98guo1jfp0770zveb3dng"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4n9a9wz0bfx0x9729jv9y7h"",""schemaId"":""ck4n98gr557mr0815tlmx1oqd"",""title"":""Forest"",""value"":""forest""}}]}",mit41196@gmail.com,Corbett_Data,1.5774E+12,1.5774E+12,0.185,Patch_26.jpg,,,,,Corbett_1,[],https://editor.labelbox.com?project=ck4n93dk8io8z087080vlrts0&label=ck4n9aaur54q50822dm10ruvl
