ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck4egh942gdcr07636ricrr38,ck4d4zm7jw2480enr1bu0cajc,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Faff2bdaf-56ee-f3d4-6bfd-574cd6f82f9c-Patch_20.jpg?Expires=1578077233864&KeyName=labelbox-assets-key-1&Signature=ZmpwPNR46KxmrGF5kuwm1vm92jo,"{""objects"":[],""classifications"":[{""featureId"":""ck4egh7ot001i0zgc3u2b4d0e"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4egh7pu001j0zgch04kpg9q"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,4.509,Patch_20.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4egh942gdcr07636ricrr38
ck4eghcj45ule0870ob5xbzrd,ck4d4zm7nw27s0enrf2v3870x,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F2c64e36f-5e91-e65b-bd08-a3dd68feb4c4-Patch_52.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=tHbi_7w3EMhpfXxeO2F3lEDLZMM,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghc380ydp0xdpjfazlxzg"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghc420ydq0xdpt6tbswdc"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,2.424,Patch_52.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghcj45ule0870ob5xbzrd
ck4eghelx5un20870x0wocgod,ck4d4zm7rw2bc0enrdi9472gy,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F87763038-d74d-0794-0358-517aa245abff-Patch_84.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=jzr3laFow_vvto5Aidi7PQnkVmE,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghdwk0yds0xdpjymuxwcu"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghdxc0ydt0xdp6prrknwp"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.653,Patch_84.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghelx5un20870x0wocgod
ck4eghh08pfyw0822sjagb359,ck4d4zm8rw2ew0enr2itf7fur,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F2627a810-b14c-11f1-3a62-2276a31d234f-Patch_116.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=qpEFSTt0mTmIdJkuENyAjyyO9yM,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghg6f0nwi0ycm2fo82r3a"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghg7d0nwj0ycmicg8qda9"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.641,Patch_116.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghh08pfyw0822sjagb359
ck4eghjr7pg050822qi6ixlqm,ck4d4zm7jw24k0enr7jvq51km,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Fd6f64633-1b0b-ae75-49b8-7c0d939404f5-Patch_23.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=zPkE6HITtoBEzeeF2PU2A9D_4fQ,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghi5m001l0ydm5ltc1g3l"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghi6c001m0ydmit7ay2as"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.322,Patch_23.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghjr7pg050822qi6ixlqm
ck4eghng05uqx087060b5e253,ck4d4zm7ow2840enr2l3jba84,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F28543dea-1ad9-08fa-8cc3-d5dadd76aab3-Patch_55.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=1q6ilz6Qbk8VtW-xeI9GIRmlV1I,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghm560nwk0ycmg7x39m75"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghm5y0nwl0ycmm44kmnrl"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,1.631,Patch_55.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghng05uqx087060b5e253
ck4eghpvoghs30886hf1f6hi1,ck4d4zm8nw2bo0enr4zozg3d6,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F4cad3550-fcb2-35fe-9b98-94d9d466f922-Patch_87.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=Dll73G4E3LaQam0MUr-yibmrvuQ,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghp6q001p0ydmglsqy7f2"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghp7i001q0ydmcgdmef7d"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.664,Patch_87.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghpvoghs30886hf1f6hi1
ck4eghrzeg7160777jyn6s1zs,ck4d4zm8rw2f80enrazya6paj,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F302ae55e-a852-50e7-6d8f-1bd811c2a283-Patch_119.jpg?Expires=1578077233865&KeyName=labelbox-assets-key-1&Signature=1fw0ig7CKBEWuwpImRRvOX2aP18,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghrdw0ydw0xdperm7izyr"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghrel0ydx0xdpbskbi8rj"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.868,Patch_119.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghrzeg7160777jyn6s1zs
ck4eghu33pg680822xoau7qg5,ck4d4zm7jw24w0enr48rrfchg,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2Fd1679c7a-61d7-224d-56a2-d26d3ba20985-Patch_26.jpg?Expires=1578077233866&KeyName=labelbox-assets-key-1&Signature=CoY-VrbRQcUCmKSLPx03ddJc0Ys,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghtg80ydy0xdpk1jyditu"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4eghth70ydz0xdpjkg98hgd"",""schemaId"":""ck4d4ymrtg1710921wk0fksty"",""title"":""Urban"",""value"":""urban""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,0.396,Patch_26.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4eghu33pg680822xoau7qg5
ck4egia0a5vz40706rmmfvmts,ck4d4zm7ow28g0enrcb92gxyi,https://storage.labelbox.com/ck4cx9kawc13u0870wwchh8lo%2F77473b2b-e3bb-88d9-08db-ad4b86207569-Patch_58.jpg?Expires=1578077233866&KeyName=labelbox-assets-key-1&Signature=lMDo837XvEvsF6TiHtpfeFhjrWg,"{""objects"":[],""classifications"":[{""featureId"":""ck4eghyju02c30xg2adl7e6fv"",""schemaId"":""ck4d4ymu3ghm50870binqan1q"",""title"":""Classification Task between the Following Target Labels"",""value"":""classification_task_between_the_following_target_labels"",""answer"":{""featureId"":""ck4egi7qc0nwr0ycmea7iytth"",""schemaId"":""ck4d4ymrtg1700921xf8nvr8k"",""title"":""Water"",""value"":""water""}}]}",meet41196@gmail.com,Mumbai_Data,1.57686E+12,1.57686E+12,16.186,Patch_58.jpg,,,,,Mumbai_1,[],https://editor.labelbox.com?project=ck4d4xhxrgirl0706oskaug7i&label=ck4egia0a5vz40706rmmfvmts
